TSA Pre-Check Arrival Times,Regular Pax Arrival Times,ID Check Process Time 1,ID Check Process Time 2,Milimeter Wave Scan times,X-Ray Scan Time,X-Ray Scan Time,Time to get scanned property
00:00.0,00:00.0,00:07.5,00:14.6,00:08.8,00:02.5,00:00.0,0:48
00:11.2,00:09.1,00:05.3,00:11.8,00:20.1,00:05.6,00:01.5,0:45
00:12.5,00:09.7,00:11.1,00:14.8,00:32.5,00:07.3,00:03.5,0:28
00:13.6,00:11.3,00:10.0,00:20.4,00:36.0,00:09.3,00:11.0,0:25
00:15.0,00:12.8,00:09.1,00:07.7,00:43.5,00:20.1,,0:22
00:24.6,00:14.3,00:08.8,00:07.5,00:51.7,00:22.4,,0:24
00:33.9,00:15.9,00:12.6,00:10.9,01:04.6,00:24.5,,0:17
00:54.4,00:26.8,00:15.4,,01:15.6,00:41.2,,0:33
00:56.0,00:56.8,00:11.9,,01:24.7,01:07.1,,0:08
01:14.6,01:21.1,,,01:32.4,01:08.8,,0:10
01:16.3,02:16.0,,,01:43.1,01:17.9,,0:26
01:43.6,02:23.6,,,01:58.2,,,0:32
01:48.7,02:27.1,,,02:09.2,,,0:21
02:04.1,02:42.7,,,02:26.2,,,0:37
02:26.2,02:44.2,,,02:39.6,,,1:08
02:54.4,03:05.6,,,02:47.3,,,0:40
02:57.7,03:12.8,,,02:54.0,,,0:18
02:59.0,03:15.3,,,03:05.6,,,0:26
03:01.1,03:26.8,,,03:25.0,,,0:08
03:06.0,03:29.3,,,03:33.6,,,0:21
03:09.0,04:26.5,,,04:11.1,,,0:23
03:10.4,04:42.4,,,04:22.4,,,0:28
03:20.5,04:47.8,,,04:34.8,,,0:50
03:21.6,04:59.6,,,04:46.8,,,0:28
03:34.4,05:09.5,,,05:00.0,,,0:48
03:52.8,05:40.1,,,05:11.1,,,0:28
04:17.2,05:56.7,,,05:18.4,,,0:36
04:35.1,06:00.4,,,05:26.5,,,0:27
04:35.5,06:19.9,,,05:40.8,,,0:05
04:37.2,07:38.8,,,05:47.9,,,
04:37.8,07:50.8,,,05:58.9,,,
05:06.2,08:00.8,,,06:08.5,,,
05:12.8,08:01.7,,,06:36.0,,,
05:36.6,08:04.2,,,06:44.6,,,
05:41.9,08:05.6,,,06:54.3,,,
05:45.8,08:17.6,,,07:05.3,,,
06:03.3,08:19.8,,,07:15.0,,,
06:06.5,08:20.9,,,07:23.6,,,
06:11.3,08:21.6,,,07:35.6,,,
06:46.1,08:32.8,,,07:42.6,,,
06:46.8,08:45.6,,,,,,
06:48.7,08:54.1,,,,,,
06:49.9,08:55.8,,,,,,
07:06.2,09:13.2,,,,,,
07:07.0,09:34.4,,,,,,
07:27.1,09:52.9,,,,,,
07:36.2,09:55.5,,,,,,
07:40.6,,,,,,,
07:41.3,,,,,,,
07:42.0,,,,,,,
07:46.8,,,,,,,
08:15.7,,,,,,,
08:22.6,,,,,,,
08:24.7,,,,,,,
08:25.5,,,,,,,
08:27.2,,,,,,,
08:42.9,,,,,,,
08:43.8,,,,,,,
